datetime,open,high,low,close,volume
2023-09-12 00:03:38+02:00,25137.82,25137.82,25137.82,25137.82,0.004
2023-09-12 00:03:39+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:40+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:41+02:00,25137.82,25137.82,25137.82,25137.82,0.0089
2023-09-12 00:03:42+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:43+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:44+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:45+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:46+02:00,25137.82,25137.82,25137.82,25137.82,0.0
2023-09-12 00:03:47+02:00,25137.71,25137.74,25137.71,25137.74,0.03218
2023-09-12 00:03:48+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:49+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:50+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:51+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:52+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:53+02:00,25137.74,25137.74,25137.74,25137.74,0.0
2023-09-12 00:03:54+02:00,25137.86,25139.64,25137.86,25139.64,0.20794
2023-09-12 00:03:55+02:00,25139.64,25139.64,25139.64,25139.64,0.0
2023-09-12 00:03:56+02:00,25139.64,25139.64,25139.64,25139.64,0.0
2023-09-12 00:03:57+02:00,25139.32,25139.32,25139.32,25139.32,0.01132
2023-09-12 00:03:58+02:00,25139.32,25139.32,25139.32,25139.32,0.0
2023-09-12 00:03:59+02:00,25139.32,25139.32,25139.32,25139.32,0.0
2023-09-12 00:04:00+02:00,25139.32,25139.32,25139.32,25139.32,0.0
2023-09-12 00:04:01+02:00,25139.05,25143.13,25139.05,25142.75,0.89307
2023-09-12 00:04:02+02:00,25139.63,25139.63,25139.63,25139.63,0.0004
2023-09-12 00:04:03+02:00,25139.63,25139.63,25139.63,25139.63,0.0
2023-09-12 00:04:04+02:00,25139.63,25139.63,25139.63,25139.63,0.0
2023-09-12 00:04:05+02:00,25139.63,25139.63,25139.63,25139.63,0.0
2023-09-12 00:04:06+02:00,25139.63,25139.63,25139.63,25139.63,0.0
2023-09-12 00:04:07+02:00,25139.32,25139.32,25139.32,25139.32,0.001
2023-09-12 00:04:08+02:00,25139.64,25139.64,25139.64,25139.64,0.00084
2023-09-12 00:04:09+02:00,25139.64,25139.64,25139.64,25139.64,0.0
2023-09-12 00:04:10+02:00,25140.05,25140.05,25139.94,25140.05,0.01269
2023-09-12 00:04:11+02:00,25139.85,25139.85,25139.15,25139.15,0.05749
2023-09-12 00:04:12+02:00,25139.15,25141.23,25139.14,25139.14,0.07217
2023-09-12 00:04:13+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:14+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:15+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:16+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:17+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:18+02:00,25139.14,25139.14,25139.14,25139.14,0.00084
2023-09-12 00:04:19+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:20+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:21+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:22+02:00,25139.14,25139.14,25139.14,25139.14,0.00084
2023-09-12 00:04:23+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:24+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:25+02:00,25139.14,25139.14,25139.14,25139.14,0.0
2023-09-12 00:04:26+02:00,25141.24,25144.59,25141.24,25142.8,0.41813
2023-09-12 00:04:27+02:00,25142.81,25142.81,25142.8,25142.8,0.05589
2023-09-12 00:04:28+02:00,25142.8,25143.85,25142.8,25143.85,0.0017
2023-09-12 00:04:29+02:00,25143.83,25143.83,25143.83,25143.83,0.00095
2023-09-12 00:04:30+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:31+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:32+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:33+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:34+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:35+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:36+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:37+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:38+02:00,25143.83,25143.83,25143.83,25143.83,0.0
2023-09-12 00:04:39+02:00,25143.09,25143.65,25143.09,25143.65,0.03638
2023-09-12 00:04:40+02:00,25143.65,25143.65,25143.65,25143.65,0.0424
2023-09-12 00:04:41+02:00,25143.65,25143.65,25143.65,25143.65,0.0
2023-09-12 00:04:42+02:00,25141.76,25141.76,25141.76,25141.76,0.003
2023-09-12 00:04:43+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:44+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:45+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:46+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:47+02:00,25141.76,25141.76,25141.76,25141.76,0.00084
2023-09-12 00:04:48+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:49+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:50+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:51+02:00,25143.09,25143.39,25143.09,25143.39,0.01194
2023-09-12 00:04:52+02:00,25143.39,25143.39,25143.39,25143.39,0.0
2023-09-12 00:04:53+02:00,25143.39,25143.39,25143.39,25143.39,0.0
2023-09-12 00:04:54+02:00,25143.39,25143.39,25143.39,25143.39,0.0
2023-09-12 00:04:55+02:00,25143.39,25143.39,25143.39,25143.39,0.0
2023-09-12 00:04:56+02:00,25143.39,25143.39,25143.39,25143.39,0.0
2023-09-12 00:04:57+02:00,25141.76,25141.76,25141.76,25141.76,0.1196
2023-09-12 00:04:58+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:04:59+02:00,25141.76,25141.76,25141.76,25141.76,0.0
2023-09-12 00:05:00+02:00,25143.08,25143.08,25140.41,25140.41,0.00457
2023-09-12 00:05:01+02:00,25140.41,25142.97,25140.41,25142.97,0.04031
2023-09-12 00:05:02+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:03+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:04+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:05+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:06+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:07+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:08+02:00,25142.97,25142.97,25142.97,25142.97,0.0
2023-09-12 00:05:09+02:00,25140.65,25140.65,25140.65,25140.65,0.00393
2023-09-12 00:05:10+02:00,25140.65,25140.65,25140.65,25140.65,0.00693
2023-09-12 00:05:11+02:00,25140.65,25140.65,25140.65,25140.65,0.0
2023-09-12 00:05:12+02:00,25140.65,25140.65,25140.65,25140.65,0.0
2023-09-12 00:05:13+02:00,25140.81,25140.81,25140.77,25140.77,0.0032
